Inventory ID,Card Kind,Name,TCG Type,Stage / Trainer Subtype,HP,Quantity,Special / Rule Box,Visible Move / Effect 1,Visible Move / Effect 2,ID Confidence,Notes,Water/Psychic Deck Pool,Collector No.,Expansion,Set ID,Collector Source,Evolves From,Ability / Rule,Attack 1 Name,Attack 1 Cost,Attack 1 Damage,Attack 1 Effect,Attack 2 Name,Attack 2 Cost,Attack 2 Damage,Attack 2 Effect,Weakness,Resistance,Retreat Cost,Regulation Mark,Trainer / Other Text,Finish / Variant,Language,English Name,Catalog Provider,Catalog Set ID,Catalog Card ID,Printing Variant,Card Back Design,Printing Finish
1,Pokémon,Maschiff,Darkness,Basic,70,1,,Bite — 40,,High,,,057/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/57/,,,Bite,D D,40,,,,,,Grass ×2,,2,J,,,,,,,,,,
2,Pokémon,Gligar,Fighting,Basic,70,1,,Poison Jab — 10,,High,,,049/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/49/,,,Poison Jab,F,10,Your opponent's Active Pokémon is now Poisoned.,,,,,Grass ×2,,1,J,,,,,,,,,,
3,Pokémon,Baltoy,Fighting,Basic,70,1,,Continuous Spin — 30×,,High,,,046/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/46/,,,Continuous Spin,F,30×,Flip a coin until you get tails. This attack does 30 damage for each heads.,,,,,Grass ×2,,2,J,,,,,,,,,,
4,Pokémon,Drilbur,Fighting,Basic,70,1,,Call for Family,Dig Claws — 50,High,,,046/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/46/,,,Call for Family,C,,"Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.",Dig Claws,C C C,50,,Grass ×2,,2,J,,,,,,,,,,
5,Pokémon,Weedle,Grass,Basic,50,1,,Surprise Attack — 30,,High,,,001/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/1/,,,Surprise Attack,G,30,"Flip a coin. If tails, this attack does nothing.",,,,,Fire ×2,,1,J,,,,,,,,,,
6,Pokémon,Nymble,Grass,Basic,50,1,,Flail Around — 10×,,High,,,009/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/9/,,,Flail Around,G,10×,Flip 3 coins. This attack does 10 damage for each heads.,,,,,Fire ×2,,1,J,,,,,,,,,,
7,Pokémon,Grubbin,Grass,Basic,70,1,,String Shot — 10,,High,,,002/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/2/,,,String Shot,C,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",,,,,Fire ×2,,2,J,,,,,,,,,,
8,Pokémon,Tropius,Grass,Basic,110,1,,Fruity Aroma,Solar Beam — 60,High,,,001/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/1/,,,Fruity Aroma,G,,"Look at the top 6 cards of your deck, and you may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards into your deck.",Solar Beam,G C,60,,Fire ×2,,1,J,,,,,,,,,,
9,Pokémon,Oddish,Grass,Basic,50,1,,Leaf Boomerang — 10×,,High,,,001/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/1/,,,Leaf Boomerang,C,10×,Flip 2 coins. This attack does 10 damage for each heads.,,,,,Fire ×2,,1,F,,,,,,,,,,
10,Pokémon,Piplup,Water,Basic,70,1,,Call for Support,Tackle — 20,High,,Yes,027/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/27/,,,Call for Support,C,,"Search your deck for a Supporter card, reveal it, and put it into your hand. Then, shuffle your deck.",Tackle,C C,20,,Lightning ×2,,1,J,,,,,,,,,,
11,Pokémon,Seel,Water,Basic,80,1,,Bubble Drain — 20,,High,80 HP Seel; distinct printing from the 70 HP Crown Zenith Seel.,Yes,021/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/21/,,,Bubble Drain,W C,20,Heal 20 damage from this Pokémon.,,,,,Lightning ×2,,2,J,,,,,,,,,,
12,Pokémon,Seel,Water,Basic,70,1,,Headbutt — 10,Rain Splash — 20,High,70 HP Crown Zenith Seel; distinct printing from the 80 HP Phantasmal Flames Seel.,Yes,029/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/29/,,,Headbutt,W,10,,Rain Splash,W C,20,,Lightning ×2,,1,F,,,,,,,,,,
13,Pokémon,Wailmer,Water,Basic,120,1,,Nap,Water Gun — 70,High,,Yes,031/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/31/,,,Nap,W,,Heal 30 damage from this Pokémon.,Water Gun,C C C,70,,Lightning ×2,,3,F,,,,,,,,,,
14,Pokémon,Froakie,Water,Basic,70,1,,Collect,Water Gun — 10,High,,Yes,020/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/20/,,,Collect,C,,Draw a card.,Water Gun,W,10,,Lightning ×2,,1,J,,,,,,,,,,
15,Pokémon,Relicanth,Water,Basic,100,1,,Fossil Beatdown — 10+,,High,,Yes,017/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/17/,,,Fossil Beatdown,C,10+,This attack does 30 more damage for each of your Benched Pokémon that has 'Antique' in its name.,,,,,Lightning ×2,,1,J,,,,,,,,,,
16,Pokémon,Goldeen,Water,Basic,70,1,,Pierce — 30,,High,,Yes,013/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/13/,,,Pierce,C C,30,,,,,,Lightning ×2,,1,J,,,,,,,,,,
17,Pokémon,Mabosstiff,Darkness,Stage 1,140,1,,Bite — 60,Plunging Headbutt — 210,High,,,058/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/58/,Maschiff,,Bite,D D,60,,Plunging Headbutt,D D D,210,"During your opponent's next turn, this Pokémon takes 100 more damage from attacks (after applying Weakness and Resistance).",Grass ×2,,3,J,,,,,,,,,,
18,Pokémon,Mandibuzz,Darkness,Stage 1,120,1,,Bone Sniper — 70,Blasting Wind — 120,High,,,050/084,Pitch Black,ME05,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me05/50/,Vullaby,,Bone Sniper,D,70,This attack does 70 damage to 1 of your opponent's Pokémon that has any Special Energy attached. Don't apply Weakness and Resistance for Benched Pokémon.,Blasting Wind,D D C,120,,Lightning ×2,Fighting −30,2,J,,,,,,,,,,
19,Pokémon,Garbodor,Darkness,Stage 1,140,1,,Gloomy Garbage (Ability),Sludge Bomb — 100,High,,,057/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/57/,Trubbish,Gloomy Garbage — Attacks used by your opponent's Active Pokémon that has a Pokémon Tool attached do 20 less damage (before applying Weakness and Resistance).,Sludge Bomb,D D C,100,,,,,,Fighting ×2,,3,J,,,,,,,,,,
20,Pokémon,Krokorok,Darkness,Stage 1,100,1,,Bite — 30,Confront — 60,High,,,065/094,Phantasmal Flames,ME02,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me02/65/,Sandile,,Bite,D,30,,Confront,D C C,60,,Grass ×2,,2,J,,,,,,,,,,
21,Pokémon,Skuntank,Darkness,Stage 1,110,1,,Rear Kick — 40,Smash Turn — 100,High,,,054/086,Chaos Rising,ME04,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/me04/54/,Stunky,,Rear Kick,D,40,,Smash Turn,D D C,100,Switch this Pokémon with 1 of your Benched Pokémon.,Fighting ×2,,2,J,,,,,,,,,,
22,Pokémon,Graveler,Fighting,Stage 1,110,1,,Tackle — 30,Boulder Crush — 70,High,,,068/159,Crown Zenith,SWSH12pt5,https://www.pokemon.com/us/pokemon-tcg/pokemon-cards/series/swsh12pt5/68/,Geodude,,Tackle,F,30,,Boulder Crush,F C C,70,,Grass ×2,,3,F,,,,,,,,,,
